藏文	中文
རྒྱན་མེད་ཀྱི་འགོག་པ		無莊嚴滅
རྒྱལ་པོ་ལྟ་བུའི་སེམས་བསྐྱེད		如國王發心
རྒྱལ་བ		佛
རྒྱལ་སྲས		佛子
རྒྱལ་ཚབ		補處
རྒྱལ་ཚབ་དམ་པ		賈曹傑
རྒྱུ		因
རྒྱུ་རྐྱེན		因緣
རྒྱུ་ཁྱད་པར་སྒྲུབ་ཀྱི་འབྲས་རྟགས་ཡང་དག	成立殊因的果正因
རྒྱུ་དངོས་སྒྲུབ་ཀྱི་འབྲས་རྟགས་ཡང་དག	直接成立因的果正因
རྒྱུ་སྔོན་སོང་སྒྲུབ་ཀྱི་འབྲས་རྟགས་ཡང་དག	成立因先行的果正因
རྒྱུ་ཆོས་རྗེས་དཔོག་གི་འབྲས་རྟགས་ཡང་དག	比度因法的果正因
རྒྱུ་འགལ་དམིགས		因相違可得
རྒྱུ་མཐུན་གྱི་འབྲས་བུ		等流果
རྒྱུ་མི་སྣང་བ་མ་དམི་གས་པའི་རྟགས་ཡང་དག	因不現不可得正因
རྒྱུ་རང་ལྡོག་སྒྲུབ་ཀྱི་འབྲས་རྟགས་ཡང་དག	成立因自返體的果正因
རྒྱུ་འབྲས་ཆུང་བ		小因果
རྒྱུ་འབྲས་ཆེ་བ		大因果
རྒྱུ་འབྲས་མན་ངག་བདུན		七因果訣竅
རྒྱུ་མིང་འབྲས་ལ་བཏགས་པ		於果取因名
རྒྱུད		相續
རྒྱུད་བླ་མ		《大乘寶性論》
རྒྱུན		續流
རྒྱུན་མཐའ		最後流
རྒྱུན་མཐའི་བར་ཆར་ཆད་མེད་ལམ		最後流無間道
རྒྱུན་མཐར་སྐྱེ་བ		續邊生起
རྒྱུན་ཞུགས		預流
རྒྱུན་ཞུགས་ཞུགས་པ		預流向
རྒྱུན་ཞུགས་སྲིད་པ་ལན་བདུན་པ་བ		預流七返
སྒེར་ཆོས		專有之法
སྒོ་ཉེར་ལྔ་པ		《般若二十五門經》
སྒོ་མང་		果芒
སྒོམ་པ		修
སྒོམ་རིམ		《修次論》
སྒོམ་ལམ		修道
སྒོམ་སྤང་		修所斷
སྒོམ་སྤངས་ཉོན་མོངས		修斷煩惱
སྒྱུ		誑
སྒྲ		聲
སྒྲ་རྟག་འཛིན		聲常執
སྒྲ་རྟག་སྟོང་		聲常空
སྒྲ་དོན		聲義
སྒྲ་དོན་འདྲེས་རུང་དུ་འཛིན་པའི་ཞེན་རིག	聲、義堪為混和而執持的耽著知
སྒྲ་བྱུང་གྲགས་པ		聲起共稱
སྒྲས་བརྗོད་རིགས་ཀྱི་སྒོ་ནས་དབྱེ་ན		堪以聲詮之門分
སྒྲས་ཟིན		表面
སྒྲས་ཟིན་གྱི་ཆོས་ཀྱི་ཁྱད་པར་སྒྲུབ་པའི་འགལ་རྟགས		成立表面之法的差別相違因
སྒྲ་ཟིན་གྱི་ཆོས་ཅན་གྱི་ཁྱད་པར་སྒྲུབ་པའི་འགལ་རྟགས		成立表面有法之差別的相違因
སྒྲས་ཟིན་གྱི་ཆོས་ཅན་གྱི་ངོ་བོ་སྒྲུབ་པའི་འགལ་རྟགས		成立表面之有法體性相違因
སྒྲའི་སྐྱེ་མཆེད		聲處
སྒྲའི་དགག་གཞི		聲之遮處
སྒྲིབ་པ		障礙
སྒྲིབ་པ་སྤངས་པའི་སེམས་བསྐྱེད		斷障發心
སྒྲུབ་འཇུག	成入
སྒྲུབ་རྟགས་ཡང་དག	成立正因
སྒྲུབ་རྟོག	成立分別
སྒྲུབ་བྱེད		能立
སྒྲུབ་བྱེད་འཕེན་པའི་ཐལ་འགྱུར		牽引能立應成
སྒྲུབ་བྱེད་མི་འཕེན་པའི་ཐལ་འགྱུར		不牽引能立應成
སྒྲུབ་པ		正行、成立法、行
བསྒྲུབ་བྱ		所立
བསྒྲུབ་བྱའི་ཆོས		所立法
སྒྲོ་འདོགས		增益
སྒྱུ་མ		幻像
སྒྲུབ་ངག	能立
བརྒལ་ལན		答難
བརྒྱད་སྟོང་པ		《般若八千頌》
བརྒྱད་སྟོང་དོན་བསྡུས		《般若八千頌攝義論》
བརྒྱུད་འགལ		間接相違
བརྒྱུད་རྒྱུ		間接因
བརྒྱུད་འབྲས		間接果
གོང་དུ་འཕོ་བ་སྲིད་པའི་རྩེ་མོར་མཐར་ཐུག་པ		最後行有頂之上流
བསྒོམ་པ		修習
གོ་ཆ		盔甲
ང་རྒྱལ		慢
ངན་འགྲོ		惡趣
ངན་གཡོ		殘忍
ངེས་དོན་གྱི་མདོ		了義經
ངེས་པར་འབྱེད་པའི་ཆ་དང་མཐུན་པ		順抉擇分
ངེས་འབྱིན		出
ངེས་འབྱེད་ཆ་མཐུན		順抉擇分
ངེས་འབྱུང་		離
ངེས་ལེགས		決定勝
ངེས་ཤེས		定解
ངོ་བོ		體性
ངོ་བོ་གཅིག	同體
ངོ་བོ་ཉིད		自性
ངོ་བོ་ཉིད་སྐུ		自性身
ངོ་བོ་ཉིད་གསུམ		三性性
ངོ་བོ་ཐ་དད		異體
ངོ་བོ་ལ་བཟླས་པ		宣誦體性
ངོ་ཚ་མེད་པ		無慚
སྔ་རྒོལ་ལ་བལྟོས་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས		待立論者之不成因
སྔ་རྒོལ་ཕྱི་རྒོལ་གཉིས་ཀ་ལ་བལྟོས་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས		待立論、敵論二者之不成因
དངོས་ཀྱི་བསྒྲུབ་བྱའི་ཆོས	直接所立法
དངོས་ཀྱི་མ་ངེས་པའི་གཏན་ཚིགས	正不定因
དངོས་འགལ	直接相違
དངོས་རྒྱུ	直接因
དངོས་རྒྱུ་ནུས་པ་ཐོགས་མེད	親因無礙能力
དངོས་སུ་སྐྱེད་བྱེད	直接能生
དངོས་སུ་རྟོགས་པ	直接通達
དངོས་སྟོབས་ཀྱི་རྟགས་ཡང་ངག	事勢正因
དངོས་བསྟན	直接所示(直接顯示)
དངོས་བསྟན་སྟོང་ཉིད་གྱི་རིམ་པ	顯義空性次第
དངོས་པོ	事物
དངོས་འབྲས	直接果
དངོས་མེད		無
དངོས་སུ་འཕེན་པ	能直接引出
མངོན་གྱུར	現前分
མངོན་འགྱུར་བ	現行
མངོན་རྟོགས	現觀
མངོན་རྟོགས་རྒྱན	《現觀莊嚴論》
མངོན་མཐོ	增上生
མངོན་དུ་གྱུར་པའི་ཚུལ་གྱིས་རྟོགས་པ	以現前的方式通達
མངོན་དུ་གྱུར་པའི་ཚུལ་དུ་རྟོགས་པ	處於現前的狀態中通達
མངོན་དུ་བྱ	現起
མངོན་པར་རྟོགས་པ་བརྒྱད	八現觀
མངོན་པར་ཤེས་པ་ལྔ	五神通
མངོན་པའི་ང་རྒྱལ	增上慢
མངོན་སུམ	現前
མངོན་སུམ་དང་པོ་བ	第一現前
མངོན་སུམ་ལྟར་སྣང	似現前
མངོན་སུམ་གྱིས་རྟོགས་པ	以現前通達
མངོན་སུམ་དུ་རྟོགས་པ	現證
ལྔ་བཅུ་པ	《般若五十頌》
ལྔ་བརྒྱ་པ	《般若五百頌》
སྔགས་ཀྱི་ཐེག་པ	密乘
སྔགས་མཁན	魔幻師
བསྔགས་པ	讚揚
སྔོ་འཛིན	青執
ཅི་ལ་དགོངས	依何密意
ཅུང་ཟད་ལྐོག་གྱུར	略隱蔽分
གཅིག	一
གཅིག་དུ་བྲལ་གྱི་གཏན་ཚིགས	離一、異因
བཅད་ཤེས	再決知
བཅོམ་ལྡན་འདས	薄伽梵
ལྕེ་ཤེས་ཀྱི་མྱང་བྱ	舌知所嘗
ཆ	分
ཆ་ཅན	有分
ཆ་བཅས	有分
ཆ་མེད	無分
ཆུ	水
ཆེད་དུ་བྱ་བའི་གདུལ་བྱ	特意所化
ཆོ་ག	儀軌
ཆོས	法
ཆོས་ཀྱི་སྐྱེ་མཆེད་པའི་གཟུགས	法處色
ཆོས་ཀྱི་བདག་མེད	法無我
ཆོས་ཀྱི་ངོ་བོ་སྒྲུབ་པའི་འགལ་རྟགས	成立法體性的相違因
ཆོས་ཀྱི་དབྱིངས	法界
ཆོས་དཀོན་མཆོག	法寶
ཆོས་འཁོར	法輪
ཆོས་རྒྱུན་གྱི་ཏིང་ངེ་འཛིན	法流三摩地
ཆོས་སྐུ	法身
ཆོས་མངོན་པ	阿毘達磨
ཆོས་ཅན	有法
ཆོས་ཅན་གྱི་ངོ་བོ་མེད་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	無有法體性不成因
ཆོས་ཅན་གྱི་ཕྱོགས་གཅིག་རྟགས་ལ་མེད་ནས་མ་གྲུབ་བའི་གཏན་ཚིགས	有法一分於因上無之不成因
ཆོས་ཅན་དུ་མ་བརྩེགས་པའི་འགོད་ཚུལ	許多有法重疊的立式
ཆོས་མཆོག	世第一法
ཆོས་ཉིད	法性
ཆོས་མཐུན	同法
ཆོས་བདག་གི་ངོ་བོར་མ་གྲུབ་པ	非法我自性
ཆོས་དཔལ	吉祥法
ཆོས་ཕུང	法蘊
ཆོས་འཕགས་ཀྱི་ལེའུ	〈法聖品〉
ཆོས་བཟོད་བཞི	四法忍
ཆོས་རབ་ཏུ་རྣམ་འབྱེད	善擇法
ཆོས་ཤེས་བཞི	四法智
ཆོས་བཤེས	法友
མཆོག་གི་སྤྲུལ་སྐུ	殊勝化身
མཆོད་བརྗོད	禮讚文
མཆོད་སྦྱིན	祭祀
འཆབ་པ	覆
ཇི་སྙེད་པ	盡所有性
ཇི་ལྟ་བ	如所有性
ཇོ་བོ	覺窩
འཇམ་དཔལ་འཕྲིན་ལས་ཡོན་ཏན་རྒྱ་མཚོ	蔣貝赤理雲丹嘉措
འཇིག་རྟེན	世間
འཇིག་རྟེན་རང་དགའ་བ	世間凡庸
འཇིག་རྟེན་ལས་འདས་པ	超越世間
འཇིག་ལྟ	薩迦耶見
འཇིག་ལྟ་ཀུན་བཏགས	分別身見
འཇིག་པའི་མཚན་ཉིད	滅相
འཇུག་ཊིཀ	《入中論釋》
འཇུག་སྡོམ	行心律儀
འཇུག་གཞི	趣入處
འཇུག་ཡུལ	趣入境
འཇུག་སེམས	行心
འཇོག་བྱེད	能安立
རྗེ་བཙུན་འཇམ་དབྱངས	至尊文殊
རྗེ་བཙུན་བྱམས་པ	至尊慈氏
རྗེ་བཙུན་བྱམས་མགོན	至尊彌勒
རྗེས་ཁྱབ	同品遍
རྗེས་ཁྱབ་རྣལ་མ	正同品遍
རྗེས་ཁྱབ་ཕྱིན་ཅི་ལོག	倒同品遍
རྗེས་ཐོབ	後得
རྗེས་མཐུན	隨順
རྗེས་དཔག	比度
རྗེས་འབྲེལ་གྱི་དགེ་བ	隨屬的善
རྗེས་བཟོད	類忍
རྗེས་ཤེས	類智
རྗེས་སུ་འབྲང་བ	隨行
རྗོད་བྱེད་ཀྱི་སྒྲ	能詮聲
རྗོད་བྱེད་རྣམ་དག	清淨能詮
བརྗེད་ངེས	失念
བརྗོད་བྱ	所詮
བརྗོད་བྱའི་དོན	所詮義
ཉན་ཐོས	聲聞
ཉན་ཐོས་སྡེ་པའི་ལུགས	聲聞宗
ཉན་ཐོས་འཕགས་པ	聲聞聖者
ཉན་པ་པོ	聽者
ཉན་ཤེས	聞知
ཉམས་ལེན	修持
ཉམས་སུ་མྱོང་བ	領納
ཉི་ཁྲི	《般若二萬頌》
ཉི་ཁྲི་དག་ལྡན	《二萬頌具清淨釋》
ཉི་ཁྲི་རྣམ་འགྲེལ	《二萬頌釋》
ཉི་ཁྲི་སྣང་བ	《二萬頌光明釋》
ཉི་ཁྲི་ལེའུ་བརྒྱད་མ	《二萬頌八卷釋》
ཉི་མ	日
ཉི་མའི་སྙིང་པོ	日藏
ཉིང་དགོས	究竟旨趣
ཉིང་མཚམས་སྦྱོར་བ	結生
ཉེ་ཉོན་ཉི་ཤུ	二十隨煩惱
ཉེར་འབྲས	近取果
ཉེར་ལེན	近取因
ཉེར་ལེན་གྱི་ཕུང་པོ	近取蘊
ཉེར་ཞི	寂靜、寂滅
ཉེས་དམིགས	過患
ཉོན་སྒྲིབ	煩惱障
ཉོན་མོངས	煩惱
ཉོན་མོངས་ཅན་གྱི་ལྟ་བ	染見
ཉོན་མོངས་ཅན་གྱི་ཐེ་ཚོམ	染疑
ཉོན་མོངས་ཅན་གྱི་མ་རིག་པ	染無明
ཉོན་མོང་ཆེན་པོའི་ས་མང	大煩惱地法
ཉོན་མོངས་པའི་ཀུན་འབྱུང	煩惱集
མཉན་པ་ལྟ་བུའི་སེམས་བསྐྱེད	如船夫發心
མཉན་བྱ	所聞
མཉམ་བཞག	根本定
གཉིས་སྣང	二現
གཉིས་སྣང་མ་ནུབ་པའི་བློ	二現未隱沒之覺知
གཉིས་སུ་མེད་པའི་ཡེ་ཤེས	無二本智
གཉེན་པོ	能治、對治
རྙེད་བཀུར	恭敬
སྙན་གྲགས	名氣
སྙིགས་མའི་དུས	濁世
སྙིང་རྗེ་ཆེན་པོ	大悲
སྙིང་པོ་མཆོག	《最勝心要釋》
སྙོམས་འཇུག	等至
ཏིང་འཛིན་རྒྱལ་པོ	《三摩地王經》
ཏིལ	芝麻
གཏན་ལ་འབེབས་པ	抉擇
གཏི་མུག་མེད་པ	無癡
ཊཱིཀ་ཆེན་དེ་ཉིད་སྣང་བ	《時輪無垢光釋大疏》
རྟ་གླང	象、馬
རྟག་ཏུ་ངུའི་ལེའུ	〈常啼品〉
རྟག་འཛིན	執常
རྟག་པ	常
རྟག་པ་ཁོ་ན	唯常
རྟགས	因
རྟགས་ཀྱི་ངོ་བོ་མེད་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	無因體性不成因
རྟགས་ཀྱི་མཚན་གཞི	因之事相
རྟགས་འགོད་པ	立因
རྟགས་ཆོས་ཅན་གྱི་སྟེང་དུ་འགོད་ཚུལ་དང་མཐུན་པར་མེད་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	因於有法上隨順立式無之不成因
རྟགས་ཆོས་ཐ་དད་མེད་ནས་མགྲུབ་པའི་གཏན་ཚིགས	因、法無異不成因
རྟགས་ཆོས་ཐ་དད་མེད་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	似因
རྟགས་སྤུངས་ཀྱི་འགོད་ཚུལ	因重疊的立式
རྟགས་སྦྱོར	因論式
རྟགས་ཚུལ་གཉིས་པར་སོང་བའི་གང་ཟག	第二因支相應的補特伽羅
རྟགས་འཛིན་སེམས	執因心
རྟགས་ཟུར་དང་པོ	因中之前者
རྟགས་ཡང་དག	正因
རྟགས་སླ	因易成
རྟེན	所依
རྟེན་བཅས་ཀྱི་མིག་དབང	有依眼根
རྟེན་འབྲེལ་བསྟོད་པ	《緣起讚》
རྟོག་པ	分別
རྟོག་བྲལ	離分別
རྟོག་མེད	無分別
རྟོག་མེད་ཀྱི་ཤེས་པ	無分別知
རྟོགས་པའི་ཆོས་འཁོར	證法輪
རྟོག་པས་བཏགས་ཙམ	唯是分別施設
རྟོགས་པ	通達
རྟོགས་རིགས	證類
ལྟ་བ་བཀར་བཏགས་ཀྱི་ཕྱག་རྒྱ་བཞི	四法印
ལྟ་བ་མཆོག་འཛིན	見取見
ལྟེ་བ	軸心
ལྟོས་པ	觀待
ལྟོས་གཞི	待事
སྟོང་པ	空
སྟོང་པ་ཉིད	空性
སྟོང་ཉིད་ཕྲ་མོ	細分空性
སྟོན་པ	導師
བརྟགས་པ	計
བསྟན་པ	教法
བསྟན་བྱའི་གཙོ་བོ	主要所示
བསྟན་བཅོས	論典
རྟོགས་པ་སྔོན་དུ་སོང་བ	曾有......證量
ཐ་དད	異
ཐབས	方便
ཐམས་ཅད་ཤེས་པ	一切智
ཐར་པ	解脫
ཐལ་འགྱུར	應成
ཐལ་འགྱུར་ཁྱབ་པ་སྒོ་བརྒྱད	應成八周遍門
ཐལ་འགྱུར་ལྟར་སྣང	似應成
ཐལ་འགྱུར་བ	應成派
ཐལ་འགྱུར་ཡང་དག	正應成
ཐལ་སྦྱོར	應成論式
ཐུང་བ	短
ཐུན་མོང་བའི་མ་ངེས་པའི་གཏན་ཚིགས	共不定因
ཐུན་མོང་མ་ཡིན་པ	不共
ཐུན་མོང་མ་ཡིན་པའི་རྟེན་ཁྱད་པར་ཅན	不共殊依
ཐུན་མོང་མ་ཡིན་པའི་བདག་རྐྱེན	不共增上緣
ཐུན་མོང་མ་ཡིན་པའི་གཏན་ཚིགས	不共不定因
ཐུན་མོང་མ་ཡིན་པའི་ཡོན་ཏན	不共功德
ཐུབ་པ་དགོངས་རྒྱན	《牟尼密意莊嚴疏》
ཐུར་ཁྱབ་རྣལ་མ	正往下遍
ཐུར་ཁྱབ་ཕྱིན་ཅི་ལོག	倒往下遍
ཐེ་ཚོམ་ཉོན་མོངས་ཅན	染疑
ཐེག་ཆེན་ཀྱི་རིགས	大乘種性
ཐེག་ཆེན་གྱི་གདམས་ངག	大乘教授
ཐེན་ཆེན་གྱི་འཇུག་སྒོ	大乘入門
ཐེན་ཆེན་གྱི་ལམ	大乘道
ཐེག་ཆེན་ཐུན་མོང་མ་ཡིན་པའི་བསྟན་བཅོས	大乘不共論典
ཐེག་ཆེན་སེམས་བསྐྱེད	大乘發心
ཐེག་བསྡུས	《攝大乘論》
ཐེག་པ་ཆེན་པོ	大乘
ཐེག་པ་ཆེན་པོར་རིགས་ངེས་པ	決定大乘種性
ཐེག་པ་གསུམ	三乘
ཐེག་དམན	小乘
ཐོག་མ་མེད་པ	無始
ཐོགས་མེད	無著
ཐོལ་རྒལ་བ	超證
ཐོས་པ	聞
མཐའ་དཔྱད་པ	辨析
མཐར་གྱིས་སྦྱོར་བ	漸次加行
མཐར་ལྟ	邊見
མི་མཐུན་ཕྱོགས	異品
མཐུན་དཔེ	同喻
མཐུན་ཕྱོགས	同品
མཐོ་བ	高
མཐོང་ཆོས	現法
མཐོང་ཆོས་ཞི	現法寂滅
མཐོང་སྤང	見所斷
མཐོང་སྤང་ཀུན་སྦྱོར་གསུམ	見所斷三結
མཐོང་ལམ	見道
འཐད་ལྡན	《應理論》
ཐོབ	獲得
འཐད་ལྡན་ཆུང་བ	《小應理論》
མཐར་ཐུག	極
མཐོང་ཐོབ་པ	見至
དག་པ	清淨
དང་བ	虔信、淨信
དད་པ	信
དད་པའི་རྗེས་འབྲངས	隨信行者
དད་མོས་པ	信解
དམ་པ	智者
དམ་བཅའ	宗
